Cod Unidade;Código da Unidade de Ensino - SISTEC;Classe;Código Municipio com DV;Instituição;Jornada de Trabalho;Município;Número de registros;Região;RSC;Titulação;Unidade de Lotação;Vinculo Carreira;Vinculo Contrato;Vinculo Professor
444;13395;D;1506807;IFPA;DE;Santarm;1;;RSC III;Mestrado;Campus Santarém;Ebtt;Efetivo;Sim
68;20432;D;3145901;IFMG;40h;Ouro Branco;1;;Não Possui;Mestrado;Campus Ouro Branco;Pcctae;Efetivo;Não
12;31984;D;5100250;IFMT;40h;Alta Floresta;1;;Não Possui;Especialização;Campus Alta Floresta;Pcctae;Efetivo;Não
354;2993;D;3146107;IFMG;DE;Ouro Preto;1;;RSC III;Mestrado;Campus Ouro Preto;Ebtt;Efetivo;Sim
438;42125;D;3157807;IFMG;DE;Santa Luzia;1;;RSC III;Mestrado;Campus Santa Luzia;Ebtt;Efetivo;Sim
529;42681;D;5108402;IFMT;DE;Vrzea Grande;1;;RSC II;Especialização;Campus Várzea Grande;Ebtt;Efetivo;Sim
161;2915;D;1502400;IFPA;DE;Castanhal;1;;Não Possui;Doutorado;Campus Castanhal;Ebtt;Efetivo;Sim
592;42109;D;3131307;IFMG;DE;Ipatinga;1;;RSC II;Especialização;Campus Avançado Ipatinga;Ebtt;Efetivo;Sim
606;;E;3106200;IFMG;40h;Belo Horizonte;1;;Não Possui;Mestrado;Reitoria do Instituto Federal de Minas Gerais;Pcctae;Efetivo;Não
233;42565;D;5003702;IFMS;DE;Dourados;1;;RSC III;Mestrado;Campus Dourados;Ebtt;Efetivo;Sim
612;;E;5002704;IFMS;40h;Campo Grande;1;;Não Possui;Mestrado;Reitoria do Instituto Federal do Mato Grosso do Sul;Pcctae;Efetivo;Não
444;13395;D;1506807;IFPA;DE;Santarm;1;;RSC III;Mestrado;Campus Santarém;Ebtt;Efetivo;Sim
444;13395;D;1506807;IFPA;DE;Santarm;1;;Não Possui;Doutorado;Campus Santarém;Ebtt;Efetivo;Sim
1;3524;D;1500107;IFPA;DE;Abaetetuba;1;;RSC III;Mestrado;Campus Abaetetuba;Ebtt;Efetivo;Sim
123;3526;D;1501709;IFPA;DE;Bragana;1;;RSC III;Mestrado;Campus Bragança;Ebtt;Efetivo;Sim
614;;D;2507507;IFPB;40h;Joo Pessoa;1;;Não Possui;Especialização;Reitoria do Instituto Federal da Paraíba;Pcctae;Efetivo;Não
413;3566;D;2512309;IFPB;40h;Princesa Isabel;1;;Não Possui;Graduação;Campus Princesa Isabel;Pcctae;Efetivo;Não
412;31284;D;5107040;IFMT;DE;Primavera do Leste;1;;Não Possui;Doutorado;Campus Primavera do Leste;Ebtt;Efetivo;Sim
113;2914;D;1501402;IFPA;DE;Belm;1;;RSC III;Mestrado;Campus Belém;Ebtt;Efetivo;Sim
362;32357;E;1505502;IFPA;40h;Paragominas;1;;Não Possui;Especialização;Campus Paragominas;Pcctae;Efetivo;Não
215;32029;D;2506004;IFPB;40h;Esperana;1;;Não Possui;Mestrado;Campus Esperança;Pcctae;Efetivo;Não
615;;E;2611606;IFPE;30h;Recife;1;;Não Possui;Especialização;Reitoria do Instituto Federal de Pernambuco;Pcctae;Efetivo;Não
508;13891;D;5008305;IFMS;DE;Trs Lagoas;1;;RSC III;Mestrado;Campus Três Lagoas;Ebtt;Efetivo;Sim
130;32118;D;2602902;IFPE;40h;Cabo de Santo Agostinho;1;;Não Possui;Graduação;Campus Cabo de Santo Agostinho;Pcctae;Efetivo;Não
233;42565;D;5003702;IFMS;DE;Dourados;1;;RSC III;Mestrado;Campus Dourados;Ebtt;Efetivo;Sim
345;13447;D;5006200;IFMS;DE;Nova Andradina;1;;RSC III;Mestrado;Campus Nova Andradina;Ebtt;Efetivo;Sim
609;;D;3152501;IFSULDEMINAS;40h;Pouso Alegre;1;;Não Possui;Especialização;Reitoria do Instituto Federal do Sul de Minas Gerais;Pcctae;Efetivo;Não
16;32043;D;1500800;IFPA;DE;Ananindeua;1;;RSC III;Mestrado;Campus Ananindeua;Ebtt;Efetivo;Sim
615;;D;2611606;IFPE;40h;Recife;1;;Não Possui;Mestrado;Reitoria do Instituto Federal de Pernambuco;Pcctae;Efetivo;Não
161;2915;E;1502400;IFPA;40h;Castanhal;1;;Não Possui;Especialização;Campus Castanhal;Pcctae;Efetivo;Não
612;;D;5002704;IFMS;40h;Campo Grande;1;;Não Possui;Especialização;Reitoria do Instituto Federal do Mato Grosso do Sul;Pcctae;Efetivo;Não
613;;E;1501402;IFPA;40h;Belm;1;;Não Possui;Mestrado;Reitoria do Instituto Federal do Pará;Pcctae;Efetivo;Não
791;44307;E;5104104;IFMT;40h;Guarant do Norte;1;;Não Possui;Mestrado;Campus Avançado Guarantã do Norte;Pcctae;Efetivo;Não
13;2916;D;1500602;IFPA;40h;Altamira;1;;Não Possui;Especialização;Campus Altamira;Pcctae;Efetivo;Não
444;13395;E;1506807;IFPA;40h;Santarm;1;;Não Possui;Especialização;Campus Santarém;Pcctae;Efetivo;Não
1;3524;C;1500107;IFPA;40h;Abaetetuba;1;;Não Possui;Especialização;Campus Abaetetuba;Pcctae;Efetivo;Não
231;14104;D;2606002;IFPE;DE;Garanhuns;1;;RSC III;Mestrado;Campus Garanhuns;Ebtt;Efetivo;Sim
266;13396;E;1503606;IFPA;40h;Itaituba;1;;Não Possui;Especialização;Campus Itaituba;Pcctae;Efetivo;Não
107;2857;D;2601409;IFPE;40h;Barreiros;1;;Não Possui;Educação Básica;Campus Barreiros;Pcctae;Efetivo;Não
132;2968;E;5102504;IFMT;40h;Cceres;1;;Não Possui;Especialização;Campus Cáceres;Pcctae;Efetivo;Não
611;;D;5103403;IFMT;40h;Cuiab;1;;Não Possui;Especialização;Reitoria do Instituto Federal do Mato Grosso;Pcctae;Efetivo;Não
143;12485;D;5002704;IFMS;40h;Campo Grande;1;;Não Possui;Especialização;Campus Campo Grande;Pcctae;Efetivo;Não
1;3524;E;1500107;IFPA;40h;Abaetetuba;1;;Não Possui;Mestrado;Campus Abaetetuba;Pcctae;Efetivo;Não
508;13891;D;5008305;IFMS;DE;Trs Lagoas;1;;RSC III;Mestrado;Campus Três Lagoas;Ebtt;Efetivo;Sim
1;3524;E;1500107;IFPA;40h;Abaetetuba;1;;Não Possui;Especialização;Campus Abaetetuba;Pcctae;Efetivo;Não
614;;D;2507507;IFPB;40h;Joo Pessoa;1;;Não Possui;Mestrado;Reitoria do Instituto Federal da Paraíba;Pcctae;Efetivo;Não
362;32357;E;1505502;IFPA;40h;Paragominas;1;;Não Possui;Especialização;Campus Paragominas;Pcctae;Efetivo;Não
113;2914;D;1501402;IFPA;40h;Belm;1;;Não Possui;Graduação;Campus Belém;Pcctae;Efetivo;Não
139;32358;C;1502103;IFPA;40h;Camet;1;;Não Possui;Especialização;Campus Cametá;Pcctae;Efetivo;Não
113;2914;D;1501402;IFPA;40h;Belm;1;;Não Possui;Graduação;Campus Belém;Pcctae;Efetivo;Não
613;;E;1501402;IFPA;40h;Belm;1;;Não Possui;Especialização;Reitoria do Instituto Federal do Pará;Pcctae;Efetivo;Não
373;13904;D;3148103;IFTM;DE;Patrocnio;1;;Não Possui;Doutorado;Campus Patrocínio;Ebtt;Efetivo;Sim
123;3526;E;1501709;IFPA;40h;Bragana;1;;Não Possui;Especialização;Campus Bragança;Pcctae;Efetivo;Não
362;32357;C;1505502;IFPA;40h;Paragominas;1;;Não Possui;Especialização;Campus Paragominas;Pcctae;Efetivo;Não
161;2915;E;1502400;IFPA;40h;Castanhal;1;;Não Possui;Mestrado;Campus Castanhal;Pcctae;Efetivo;Não
288;42563;D;5005004;IFMS;DE;Jardim;1;;RSC III;Mestrado;Campus Jardim;Ebtt;Efetivo;Sim
319;2919;D;1504208;IFPA;40h;Marab;1;;Não Possui;Graduação;Campus Marabá Industrial;Pcctae;Efetivo;Não
2;32366;D;2600054;IFPE;DE;Abreu e Lima;1;;RSC III;Mestrado;Campus Abreu e Lima;Ebtt;Efetivo;Sim
186;3522;C;1502707;IFPA;40h;Conceio do Araguaia;1;;Não Possui;Especialização;Campus Conceição do Araguaia;Pcctae;Efetivo;Não
233;42565;D;5003702;IFMS;DE;Dourados;1;;RSC III;Mestrado;Campus Dourados;Ebtt;Efetivo;Sim
13;2916;E;1500602;IFPA;40h;Altamira;1;;Não Possui;Mestrado;Campus Altamira;Pcctae;Efetivo;Não
186;3522;C;1502707;IFPA;40h;Conceio do Araguaia;1;;Não Possui;Especialização;Campus Conceição do Araguaia;Pcctae;Efetivo;Não
399;13894;D;5006606;IFMS;DE;Ponta Por;1;;RSC II;Especialização;Campus Ponta Porã;Ebtt;Efetivo;Sim
319;2919;C;1504208;IFPA;40h;Marab;1;;Não Possui;Educação Básica;Campus Marabá Industrial;Pcctae;Efetivo;Não
339;42566;D;5005707;IFMS;DE;Navira;1;;Não Possui;Mestrado;Campus Naviraí;Ebtt;Efetivo;Sim
366;32045;E;1505536;IFPA;40h;Parauapebas;1;;Não Possui;Mestrado;Campus Parauapebas;Pcctae;Efetivo;Não
319;2919;E;1504208;IFPA;40h;Marab;1;;Não Possui;Especialização;Campus Marabá Industrial;Pcctae;Efetivo;Não
444;13395;E;1506807;IFPA;40h;Santarm;1;;Não Possui;Especialização;Campus Santarém;Pcctae;Efetivo;Não
16;32043;C;1500800;IFPA;40h;Ananindeua;1;;Não Possui;Educação Básica;Campus Ananindeua;Pcctae;Efetivo;Não
298;2958;D;3136702;IF SUDESTE MG;DE;Juiz de Fora;1;;Não Possui;Doutorado;Campus Juiz de Fora;Ebtt;Efetivo;Sim
320;2917;C;1504208;IFPA;40h;Marab;1;;Não Possui;Especialização;Campus Marabá Rural;Pcctae;Efetivo;Não
444;13395;C;1506807;IFPA;40h;Santarm;1;;Não Possui;Especialização;Campus Santarém;Pcctae;Efetivo;Não
113;2914;D;1501402;IFPA;40h;Belm;1;;Não Possui;Mestrado;Campus Belém;Pcctae;Efetivo;Não
511;2918;C;1508100;IFPA;40h;Tucuru;1;;Não Possui;Especialização;Campus Tucuruí;Pcctae;Efetivo;Não
113;2914;E;1501402;IFPA;40h;Belm;1;;Não Possui;Graduação;Campus Belém;Pcctae;Efetivo;Não
186;3522;E;1502707;IFPA;40h;Conceio do Araguaia;1;;Não Possui;Especialização;Campus Conceição do Araguaia;Pcctae;Efetivo;Não
261;32030;E;2506905;IFPB;20h;Itabaiana;1;;Não Possui;Doutorado;Campus Itabaiana;Pcctae;Efetivo;Não
255;2997;D;3130606;IFSULDEMINAS;40h;Inconfidentes;1;;Não Possui;Mestrado;Campus Inconfidentes;Pcctae;Efetivo;Não
319;2919;D;1504208;IFPA;40h;Marab;1;;Não Possui;Especialização;Campus Marabá Industrial;Pcctae;Efetivo;Não
440;42347;E;2513703;IFPB;40h;Santa Rita;1;;Não Possui;Mestrado;Campus Santa Rita;Pcctae;Efetivo;Não
613;;E;1501402;IFPA;25h;Belm;1;;Não Possui;Mestrado;Reitoria do Instituto Federal do Pará;Pcctae;Efetivo;Não
362;32357;D;1505502;IFPA;40h;Paragominas;1;;Não Possui;Especialização;Campus Paragominas;Pcctae;Efetivo;Não
350;32074;C;1505106;IFPA;40h;îbidos;1;;Não Possui;Educação Básica;Campus Óbidos;Pcctae;Efetivo;Não
188;13511;D;5103353;IFMT;DE;Confresa;1;;Não Possui;Graduação;Campus Confresa;Ebtt;Efetivo;Sim
143;12485;D;5002704;IFMS;DE;Campo Grande;1;;RSC II;Especialização;Campus Campo Grande;Ebtt;Efetivo;Sim
123;3526;D;1501709;IFPA;40h;Bragana;1;;Não Possui;Especialização;Campus Bragança;Pcctae;Efetivo;Não
444;13395;C;1506807;IFPA;40h;Santarm;1;;Não Possui;Educação Básica;Campus Santarém;Pcctae;Efetivo;Não
350;32074;D;1505106;IFPA;40h;îbidos;1;;Não Possui;Graduação;Campus Óbidos;Pcctae;Efetivo;Não
